שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
אמת ליעקב על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סוכה.txt,Dicta,7
אמת ליעקב על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא קמא.txt,Dicta,12
אמת ליעקב על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא בתרא.txt,Dicta,70
אמת ליעקב על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על תענית.txt,Dicta,60
אמת ליעקב על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא מציעא.txt,Dicta,11
אמת ליעקב על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על גיטין.txt,Dicta,7
אמת ליעקב על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על פסחים.txt,Dicta,15
אמת ליעקב על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מועד קטן.txt,Dicta,16
אמת ליעקב על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על עירובין.txt,Dicta,17
אמת ליעקב על חגיגה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על חגיגה.txt,Dicta,14
אמת ליעקב על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על ברכות.txt,Dicta,126
אמת ליעקב על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על נדה.txt,Dicta,4
גבורת ארי נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי נזיר.txt,Dicta,7
גבורת ארי מכות.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי מכות.txt,Dicta,105
גבורת ארי ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי ביצה.txt,Dicta,14
‏‏גבורת ארי יומא.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/‏‏גבורת ארי יומא.txt,Dicta,688
משמרות כהונה חלק ג.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק ג.txt,Dicta,5310
משמרות כהונה חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק א.txt,Dicta,5647
משמרות כהונה על סדר נזיקין.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה על סדר נזיקין.txt,Dicta,3462
