שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
אבן עזרא על שמות,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על שמות.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על שמות; פירוש הקצר,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על שמות; פירוש הקצר.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על תהילים,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על תהילים.txt,,,,,,,,,,,,,,,,,,,
אבני האפוד,אחרונים,שות,שות\אחרונים\אבני האפוד.txt,,,,,,,,,,,,,,,,,,,
אבני נזר אבן העזר,אחרונים,שות,שות\אחרונים\אבני נזר\אבני נזר אבן העזר.txt,,,,,,,,,,,,,,,,,,,
אבני נזר אורח חיים,אחרונים,שות,שות\אחרונים\אבני נזר\אבני נזר אורח חיים.txt,,,,,,,,,,,,,,,,,,,
אבני נזר חושן משפט,אחרונים,שות,שות\אחרונים\אבני נזר\אבני נזר חושן משפט.txt,,,,,,,,,,,,,,,,,,,
אבני נזר יורה דעה,אחרונים,שות,שות\אחרונים\אבני נזר\אבני נזר יורה דעה.txt,,,,,,,,,,,,,,,,,,,
אבני שיש חלק ב,אחרונים,שות,שות\אחרונים\אבני שיש חלק ב.txt,,,,,,,,,,,,,,,,,,,
אבקת רוכל,אחרונים,שות,שות\אחרונים\אבקת רוכל.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על הושע,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על הושע.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על זכריה,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על זכריה.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על חבקוק,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על חבקוק.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על חגי,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על חגי.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על יהושע,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על יהושע.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על יואל,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על יואל.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על יונה,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על יונה.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על יחזקאל,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על יחזקאל.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על ירמיהו,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על ירמיהו.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על ישעיהו,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על ישעיהו.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על מורה נבוכים,ראשונים,מחשבת ישראל,מחשבת ישראל\ראשונים\מורה נבוכים\מפרשים\אברבנאל על מורה נבוכים.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על מיכה,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על מיכה.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על מלאכי,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על מלאכי.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על מלכים א,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על מלכים א.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על מלכים ב,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על מלכים ב.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על נחום,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על נחום.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על עובדיה,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על עובדיה.txt,,,,,,,,,,,,,,,,,,,
אברבנאל על עמוס,ראשונים,תנך,תנך\ראשונים\אברבנאל\נביאים\אברבנאל על עמוס.txt,,,,,,,,,,,,,,,,,,,
